,X,lon,lat,epiraindiff,epirhdiff,epitdiff,finfmh,finfmf,finfmd,V12
3732,5326,-85.55569458,44.04543304,1.67124,-3.46535,1.30593,0.5923769,0.4021735,-0.1902034,0.007248173
3733,5327,-85.51449585,44.15317917,3.25511,-3.02131,1.34879,0.6097666,0.4367393,-0.1730273,0.019970684
3734,5328,-85.47311401,44.26091385,4.10393,-2.78218,1.3861,0.6400379,0.477826,-0.1622119,0.003097203
3735,5329,-85.43157959,44.36863327,5.23245,-3.02494,1.35337,0.6090572,0.4419884,-0.1670688,0.013638949
3736,5330,-85.3899231,44.47634506,3.14416,-3.52774,1.31655,0.5711986,0.4012287,-0.1699699,0.020875535
3737,5331,-85.3480835,44.5840416,2.24983,-3.56856,1.29098,0.5692376,0.4123776,-0.15686,0.008615474
3738,5332,-85.30609131,44.69172668,2.56124,-3.63534,1.27986,0.5556323,0.4016148,-0.1540175,0.003368754
3739,5333,-85.26394653,44.79940033,4.77846,-3.52797,1.30805,0.5435402,0.3901582,-0.153382,0.031461176
3740,5334,-85.22161865,44.90707016,11.30023,-3.25958,1.24179,0.5539249,0.4026211,-0.1513038,0.017712194
3744,5338,-85.05075073,45.33758163,9.86401,-2.6399,1.25789,0.5370323,0.4163336,-0.1206987,0.032492246
3746,5340,-84.96432495,45.55275726,10.1326,-2.33431,1.24367,0.5412138,0.4312718,-0.109942,0.003336397
3815,5461,-86.00982666,42.39961243,3.0305,-3.29807,0.59269,0.530854,0.3349157,-0.1959383,0.015726907
3816,5462,-85.97058105,42.50739288,5.24208,-3.61416,0.65629,0.5137007,0.330192,-0.1835087,0.006300709
3817,5463,-85.93121338,42.61516953,4.50188,-3.74977,0.66778,0.5060443,0.3316812,-0.1743631,0.006778258
3818,5464,-85.89169312,42.72294235,6.15015,-3.71165,0.69616,0.4994121,0.3321086,-0.1673035,0.03842657
3824,5470,-85.65148926,43.36947632,5.41809,-3.30049,1.18336,0.4894874,0.336094,-0.1533934,0.017752409
3826,5472,-85.57022095,43.58493805,4.9891,-3.73528,1.32953,0.485195,0.3273379,-0.1578571,0.015700456
3827,5473,-85.52935791,43.69266129,5.84771,-3.35023,1.273,0.5568232,0.3729014,-0.1839218,0.020428732
3828,5474,-85.48834229,43.80037308,3.06406,-3.54515,1.27501,0.5456194,0.3707621,-0.1748573,0.007899848
3829,5475,-85.44720459,43.90808105,-1.69865,-3.64112,1.22288,0.5608175,0.3975046,-0.1633129,0.025044173
3830,5476,-85.40588379,44.01576614,0.8671,-3.15451,1.29792,0.5973263,0.4463087,-0.1510176,0.003234698
3831,5477,-85.3644104,44.12345505,1.94149,-2.94772,1.34268,0.6146962,0.4664207,-0.1482755,0.018716818
3832,5478,-85.32278442,44.23112869,1.90426,-2.90795,1.37239,0.6071143,0.4551096,-0.1520047,0.040500487
3833,5479,-85.28100586,44.33878708,2.95226,-3.07227,1.35691,0.5938689,0.4421263,-0.1517426,0.025703408
